customer_id,first_name,last_name,address_id,city,country,name,active,total_rentals
469,WESLEY,BULL,474,"Ourense (Orense)",Spain,Games,1,9
526,KARL,SEAL,532,"Cape Coral","United States",Animation,1,8
196,ALMA,AUSTIN,200,Mannheim,Germany,Animation,1,8
243,LYDIA,BURKE,247,"San Miguel de Tucumn",Argentina,Documentary,1,8
5,ELIZABETH,BROWN,9,Nantou,Taiwan,Classics,1,7
20,SHARON,ROBINSON,24,Mardan,Pakistan,New,1,7
38,MARTHA,GONZALEZ,42,Chisinau,Moldova,Children,1,7
116,VICTORIA,GIBSON,120,Pemalang,Indonesia,Family,1,7
133,PAULINE,HENRY,137,Torren,Mexico,Drama,1,7
145,LUCILLE,HOLMES,149,Soshanguve,"South Africa",Animation,1,7
148,ELEANOR,HUNT,152,Saint-Denis,Runion,Sci-Fi,1,7
181,ANA,BRADLEY,185,Memphis,"United States",Family,1,7
197,SUE,PETERS,201,Changzhou,China,Comedy,1,7
206,TERRI,VASQUEZ,210,Blumenau,Brazil,New,1,7
257,MARSHA,DOUGLAS,262,Beira,Mozambique,Documentary,1,7
279,DIANNE,SHELTON,284,Tabriz,Iran,Sci-Fi,1,7
323,MATTHEW,MAHAN,328,Cuautla,Mexico,Action,1,7
375,AARON,SELBY,380,Mwene-Ditu,"Congo, The Democratic Republic of the",Travel,1,7
406,NATHAN,RUNYON,411,"Charlotte Amalie","Virgin Islands, U.S.",Animation,0,7
411,NORMAN,CURRIER,416,Cianjur,Indonesia,Animation,1,7
441,MARIO,CHEATHAM,446,Batna,Algeria,New,1,7
454,ALEX,GRESHAM,459,Uruapan,Mexico,Sports,1,7
468,TIM,CARY,473,Bijapur,India,Animation,1,7
506,LESLIE,SEWARD,511,Pontianak,Indonesia,Action,1,7
522,ARNOLD,HAVENS,528,"Santa Rosa",Philippines,Games,1,7
526,KARL,SEAL,532,"Cape Coral","United States",Family,1,7
274,NAOMI,JENNINGS,279,Karnal,India,New,1,6
277,OLGA,JIMENEZ,282,Ogbomosho,Nigeria,Sports,1,6
314,GEORGE,LINTON,319,Sorocaba,Brazil,Sports,1,6
343,DOUGLAS,GRAF,348,Mexicali,Mexico,Family,1,6
354,JUSTIN,NGO,359,"Santo Andr",Brazil,Documentary,1,6
354,JUSTIN,NGO,359,"Santo Andr",Brazil,Drama,1,6
356,GERALD,FULTZ,361,Satna,India,Foreign,1,6
363,ROY,WHITING,368,Nyeri,Kenya,Action,1,6
373,LOUIS,LEONE,378,Tanauan,Philippines,Animation,1,6
380,RUSSELL,BRINSON,385,Tychy,Poland,Foreign,1,6
405,LEONARD,SCHOFIELD,410,Tandil,Argentina,Documentary,1,6
408,MANUEL,MURRELL,413,Jaffna,"Sri Lanka",Children,1,6
410,CURTIS,IRBY,415,"Richmond Hill",Canada,Family,1,6
410,CURTIS,IRBY,415,"Richmond Hill",Canada,Action,1,6
424,KYLE,SPURLOCK,429,Shanwei,China,Drama,1,6
427,JESUS,MCCARTNEY,432,Guaruj,Brazil,Documentary,1,6
439,ALEXANDER,FENNELL,444,Bergamo,Italy,Family,1,6
446,THEODORE,CULP,451,Uluberia,India,Foreign,0,6
461,DEREK,BLAKELY,466,Gingoog,Philippines,Sci-Fi,1,6
469,WESLEY,BULL,474,"Ourense (Orense)",Spain,Foreign,1,6
472,GREG,ROBINS,477,"Nam Dinh",Vietnam,Music,1,6
481,HERMAN,DEVORE,486,Mwanza,Tanzania,Games,1,6
487,HECTOR,POINDEXTER,492,Pjatigorsk,"Russian Federation",Action,1,6
487,HECTOR,POINDEXTER,492,Pjatigorsk,"Russian Federation",Documentary,1,6
494,RAMON,CHOATE,499,Robamba,Ecuador,Sports,1,6
